Airfoil,Motor,Diameter,Battery,Root Chord,Tip Chord,Root Pitch,Tip Pitch
RG-15_8_DOE,2300,0.1016,2,0.008,0.004,10,4
RG-15_8_DOE,2300,0.1016,2,0.008,0.004,6,1
RG-15_8_DOE,2300,0.1016,2,0.018,0.009,10,4
RG-15_8_DOE,2300,0.1016,2,0.018,0.009,6,1
RG-15_8_DOE,3600,0.0761999999999999,1,0.008,0.004,10,4
RG-15_8_DOE,3600,0.0761999999999999,1,0.008,0.004,6,1
RG-15_8_DOE,3600,0.0761999999999999,1,0.018,0.009,10,4
RG-15_8_DOE,3600,0.0761999999999999,1,0.018,0.009,6,1
RG-15_8_DOE,3600,0.0761999999999999,2,0.008,0.004,10,4
RG-15_8_DOE,3600,0.0761999999999999,2,0.008,0.004,6,1
RG-15_8_DOE,3600,0.0761999999999999,2,0.018,0.009,10,4
RG-15_8_DOE,3600,0.0761999999999999,2,0.018,0.009,6,1
RG-15_8_DOE,3600,0.1016,1,0.008,0.004,10,4
RG-15_8_DOE,3600,0.1016,1,0.008,0.004,6,1
RG-15_8_DOE,3600,0.1016,1,0.018,0.009,10,4
RG-15_8_DOE,3600,0.1016,1,0.018,0.009,6,1
RG-15_8_DOE,3600,0.1016,2,0.008,0.004,10,4
RG-15_8_DOE,3600,0.1016,2,0.008,0.004,6,1
RG-15_8_DOE,3600,0.1016,2,0.018,0.009,10,4
RG-15_8_DOE,3600,0.1016,2,0.018,0.009,6,1
RG-15_8_DOE,3800,0.0761999999999999,1,0.008,0.004,10,4
RG-15_8_DOE,3800,0.0761999999999999,1,0.008,0.004,6,1
RG-15_8_DOE,3800,0.0761999999999999,1,0.018,0.009,10,4
RG-15_8_DOE,3800,0.0761999999999999,1,0.018,0.009,6,1
RG-15_8_DOE,3800,0.0761999999999999,2,0.008,0.004,10,4
RG-15_8_DOE,3800,0.0761999999999999,2,0.008,0.004,6,1
RG-15_8_DOE,3800,0.0761999999999999,2,0.018,0.009,10,4
RG-15_8_DOE,3800,0.0761999999999999,2,0.018,0.009,6,1
RG-15_8_DOE,3800,0.1016,1,0.008,0.004,10,4
RG-15_8_DOE,3800,0.1016,1,0.008,0.004,6,1
RG-15_8_DOE,3800,0.1016,1,0.018,0.009,10,4
RG-15_8_DOE,3800,0.1016,1,0.018,0.009,6,1
RG-15_8_DOE,3800,0.1016,2,0.008,0.004,10,4
RG-15_8_DOE,3800,0.1016,2,0.008,0.004,6,1
RG-15_8_DOE,3800,0.1016,2,0.018,0.009,10,4
RG-15_8_DOE,3800,0.1016,2,0.018,0.009,6,1
SD7037_DOE,2300,0.0761999999999999,1,0.008,0.004,10,4
SD7037_DOE,2300,0.0761999999999999,1,0.008,0.004,6,1
SD7037_DOE,2300,0.0761999999999999,1,0.018,0.009,10,4
SD7037_DOE,2300,0.0761999999999999,1,0.018,0.009,6,1
SD7037_DOE,2300,0.0761999999999999,2,0.008,0.004,10,4
SD7037_DOE,2300,0.0761999999999999,2,0.008,0.004,6,1
SD7037_DOE,2300,0.0761999999999999,2,0.018,0.009,10,4
SD7037_DOE,2300,0.0761999999999999,2,0.018,0.009,6,1
SD7037_DOE,2300,0.1016,1,0.008,0.004,10,4
SD7037_DOE,2300,0.1016,1,0.008,0.004,6,1
SD7037_DOE,2300,0.1016,1,0.018,0.009,10,4
SD7037_DOE,2300,0.1016,1,0.018,0.009,6,1
SD7037_DOE,2300,0.1016,2,0.008,0.004,10,4
SD7037_DOE,2300,0.1016,2,0.008,0.004,6,1
SD7037_DOE,2300,0.1016,2,0.018,0.009,10,4
SD7037_DOE,2300,0.1016,2,0.018,0.009,6,1
SD7037_DOE,3600,0.0761999999999999,1,0.008,0.004,10,4
SD7037_DOE,3600,0.0761999999999999,1,0.008,0.004,6,1
SD7037_DOE,3600,0.0761999999999999,1,0.018,0.009,10,4
SD7037_DOE,3600,0.0761999999999999,1,0.018,0.009,6,1
SD7037_DOE,3600,0.0761999999999999,2,0.008,0.004,10,4
SD7037_DOE,3600,0.0761999999999999,2,0.008,0.004,6,1
SD7037_DOE,3600,0.0761999999999999,2,0.018,0.009,10,4
SD7037_DOE,3600,0.0761999999999999,2,0.018,0.009,6,1
SD7037_DOE,3600,0.1016,1,0.008,0.004,10,4
SD7037_DOE,3600,0.1016,1,0.008,0.004,6,1
SD7037_DOE,3600,0.1016,1,0.018,0.009,10,4
SD7037_DOE,3600,0.1016,1,0.018,0.009,6,1
SD7037_DOE,3600,0.1016,2,0.008,0.004,10,4
SD7037_DOE,3600,0.1016,2,0.008,0.004,6,1
SD7037_DOE,3600,0.1016,2,0.018,0.009,10,4
SD7037_DOE,3600,0.1016,2,0.018,0.009,6,1
SD7037_DOE,3800,0.0761999999999999,1,0.008,0.004,10,4
SD7037_DOE,3800,0.0761999999999999,1,0.008,0.004,6,1
SD7037_DOE,3800,0.0761999999999999,1,0.018,0.009,10,4
SD7037_DOE,3800,0.0761999999999999,1,0.018,0.009,6,1
SD7037_DOE,3800,0.0761999999999999,2,0.008,0.004,10,4
SD7037_DOE,3800,0.0761999999999999,2,0.008,0.004,6,1
SD7037_DOE,3800,0.0761999999999999,2,0.018,0.009,10,4
SD7037_DOE,3800,0.0761999999999999,2,0.018,0.009,6,1
SD7037_DOE,3800,0.1016,1,0.008,0.004,10,4
SD7037_DOE,3800,0.1016,1,0.008,0.004,6,1
SD7037_DOE,3800,0.1016,1,0.018,0.009,10,4
SD7037_DOE,3800,0.1016,1,0.018,0.009,6,1
SD7037_DOE,3800,0.1016,2,0.008,0.004,10,4
SD7037_DOE,3800,0.1016,2,0.008,0.004,6,1
SD7037_DOE,3800,0.1016,2,0.018,0.009,10,4
SD7037_DOE,3800,0.1016,2,0.018,0.009,6,1
SD7062_DOE,2300,0.0761999999999999,1,0.008,0.004,10,4
SD7062_DOE,2300,0.0761999999999999,1,0.008,0.004,6,1
SD7062_DOE,2300,0.0761999999999999,1,0.018,0.009,10,4
SD7062_DOE,2300,0.0761999999999999,1,0.018,0.009,6,1
SD7062_DOE,2300,0.0761999999999999,2,0.008,0.004,10,4
SD7062_DOE,2300,0.0761999999999999,2,0.008,0.004,6,1
SD7062_DOE,2300,0.0761999999999999,2,0.018,0.009,10,4
SD7062_DOE,2300,0.0761999999999999,2,0.018,0.009,6,1
SD7062_DOE,2300,0.1016,1,0.008,0.004,10,4
SD7062_DOE,2300,0.1016,1,0.008,0.004,6,1
SD7062_DOE,2300,0.1016,1,0.018,0.009,10,4
SD7062_DOE,2300,0.1016,1,0.018,0.009,6,1
SD7062_DOE,2300,0.1016,2,0.008,0.004,10,4
SD7062_DOE,2300,0.1016,2,0.008,0.004,6,1
SD7062_DOE,2300,0.1016,2,0.018,0.009,10,4
SD7062_DOE,2300,0.1016,2,0.018,0.009,6,1
SD7062_DOE,3600,0.0761999999999999,1,0.008,0.004,10,4
SD7062_DOE,3600,0.0761999999999999,1,0.008,0.004,6,1
SD7062_DOE,3600,0.0761999999999999,1,0.018,0.009,10,4
SD7062_DOE,3600,0.0761999999999999,1,0.018,0.009,6,1
SD7062_DOE,3600,0.0761999999999999,2,0.008,0.004,10,4
SD7062_DOE,3600,0.0761999999999999,2,0.008,0.004,6,1
SD7062_DOE,3600,0.0761999999999999,2,0.018,0.009,10,4
SD7062_DOE,3600,0.0761999999999999,2,0.018,0.009,6,1
SD7062_DOE,3600,0.1016,1,0.008,0.004,10,4
SD7062_DOE,3600,0.1016,1,0.008,0.004,6,1
SD7062_DOE,3600,0.1016,1,0.018,0.009,10,4
SD7062_DOE,3600,0.1016,1,0.018,0.009,6,1
SD7062_DOE,3600,0.1016,2,0.008,0.004,10,4
SD7062_DOE,3600,0.1016,2,0.008,0.004,6,1
SD7062_DOE,3600,0.1016,2,0.018,0.009,10,4
SD7062_DOE,3600,0.1016,2,0.018,0.009,6,1
SD7062_DOE,3800,0.0761999999999999,1,0.008,0.004,10,4
SD7062_DOE,3800,0.0761999999999999,1,0.008,0.004,6,1
SD7062_DOE,3800,0.0761999999999999,1,0.018,0.009,10,4
SD7062_DOE,3800,0.0761999999999999,1,0.018,0.009,6,1
SD7062_DOE,3800,0.0761999999999999,2,0.008,0.004,10,4
SD7062_DOE,3800,0.0761999999999999,2,0.008,0.004,6,1
SD7062_DOE,3800,0.0761999999999999,2,0.018,0.009,10,4
SD7062_DOE,3800,0.0761999999999999,2,0.018,0.009,6,1
SD7062_DOE,3800,0.1016,1,0.008,0.004,10,4
SD7062_DOE,3800,0.1016,1,0.008,0.004,6,1
SD7062_DOE,3800,0.1016,1,0.018,0.009,10,4
SD7062_DOE,3800,0.1016,1,0.018,0.009,6,1
SD7062_DOE,3800,0.1016,2,0.008,0.004,10,4
SD7062_DOE,3800,0.1016,2,0.008,0.004,6,1
SD7062_DOE,3800,0.1016,2,0.018,0.009,10,4
SD7062_DOE,3800,0.1016,2,0.018,0.009,6,1
